charging_station_id,latitude,longitude,region
160148,-41.17341318,174.9815131,Wellington
160519,-35.984141,174.44488,Northland
160489,-36.81828,174.612684,Auckland
160137,-43.623545,171.647953,Unknown
160158,-37.53913814,175.9338506,Bay of Plenty
160204,-37.63379,178.369254,Gisborne
160320,-41.799545,172.325373,Unknown
160523,-36.399244,174.66644,Auckland
160202,-37.203677,175.873856,Waikato
160465,-43.49535608,172.7106759,Unknown
160397,-45.50746,170.118599,Unknown
160201,-37.192743,174.983637,Auckland
160358,-43.60358,172.71344,Unknown
160244,-39.133366,177.003793,Hawke's Bay
160145,-43.50690707,172.5473825,Unknown
160216,-37.949836,176.998989,Bay of Plenty
160502,-34.992067,173.509309,Northland
160372,-44.092764,171.242916,Unknown
160199,-37.053386,174.931804,Auckland
160491,-36.844878,174.77181,Auckland
160412,-46.237234,169.738245,Unknown
160295,-41.28381,174.738131,Wellington
160284,-41.132114,174.841666,Wellington
160132,-36.84877494,174.7581292,Auckland
160446,-36.96313585,174.9013616,Auckland
160463,-36.86726019,174.775146,Auckland
160109,-36.849667,174.77455,Auckland
160325,-42.448596,171.215473,West Coast
160454,-40.62932214,175.2785708,Manawatū-Whanganui
160313,-41.330898,174.780196,Wellington
160123,-44.303657,171.225107,Unknown
160318,-41.514732,173.959433,Marlborough
160183,-36.84904,174.766916,Auckland
160445,-43.51895561,172.59002,Unknown
160111,-41.1088938,175.097346,Wellington
160273,-40.861299,175.02426,Wellington
160195,-36.988096,174.879214,Auckland
160228,-38.331148,175.162076,Waikato
160293,-41.277922,173.766868,Marlborough
160517,-35.750846,174.30856,Northland
160448,-37.822233,175.286619,Waikato
160409,-46.116449,169.964229,Unknown
160117,-37.2781761,175.0460801,Waikato
160301,-41.298815,174.7869,Wellington
160457,-41.09593273,174.8685887,Wellington
160430,-40.95187263,175.6603085,Wellington
160462,-36.605708,174.662124,Auckland
160260,-40.076095,175.37971,Manawatū-Whanganui
160086,-37.8767286,175.3245484,Waikato
160486,-36.890082,174.794549,Auckland
160274,-40.861889,172.806131,Tasman
160268,-40.47165,175.281212,Manawatū-Whanganui
160376,-44.256647,170.100189,Unknown
160360,-43.6401,172.48205,Unknown
160191,-36.9094,174.682974,Auckland
160188,-36.864889,174.760944,Auckland
160386,-45.010172,168.747621,Unknown
160136,-43.53300448,172.6418037,Unknown
160403,-45.878934,170.503272,Unknown
160243,-39.080674,177.874369,Hawke's Bay
160225,-38.148197,176.274742,Bay of Plenty
160142,-36.84877494,174.7581292,Auckland
160377,-44.382784,171.23798,Unknown
160162,-41.1456647,174.839828,Wellington
160389,-45.094048,169.601258,Unknown
160190,-36.908289,174.735404,Auckland
160373,-44.10019,170.829522,Unknown
160345,-43.51183,172.692901,Unknown
160112,-37.75429253,175.2306405,Waikato
160196,-36.990584,174.878031,Auckland
160518,-35.940285,173.872122,Northland
160316,-41.460704,173.961785,Marlborough
160509,-35.282895,174.090388,Northland
160391,-45.104958,170.969468,Otago
160239,-38.878762,176.369708,Bay of Plenty
160475,-44.3742546,171.2425126,Unknown
160321,-41.829084,174.130996,Marlborough
160363,-43.733854,170.095932,Unknown
160392,-45.128575,170.097858,Unknown
160093,-37.7936207,175.2863778,Waikato
160334,-43.307983,172.671818,Unknown
160115,-38.32391951,175.1526705,Waikato
160209,-37.695622,176.16147,Bay of Plenty
160428,-41.45148883,172.8368258,Unknown
160423,-40.91217889,175.0022089,Wellington
160189,-36.897982,174.853434,Auckland
160337,-43.381896,172.660077,Unknown
160257,-39.9258,175.040425,Manawatū-Whanganui
160332,-43.156522,172.730383,Canterbury
160140,-43.52459977,172.6680243,Unknown
160480,-36.8854983,174.6443053,Auckland
160418,-46.571653,168.795896,Southland
160437,-37.77918196,175.333237,Waikato
160169,-41.28381336,174.7784914,Wellington
160395,-45.416134,167.712652,Southland
160398,-45.511126,168.579404,Southland
160353,-43.561652,172.737561,Unknown
160184,-36.852916,174.762406,Auckland
160143,-41.18470134,174.9491019,Wellington
160105,-43.540028,172.62218,Unknown
160300,-41.297056,174.765587,Wellington
160107,-38.990505,175.81082,Waikato
160090,-37.7883439,175.2812811,Waikato
160203,-37.393211,175.839003,Waikato
160150,-43.60713882,172.3855524,Unknown
160467,-43.30789097,172.672449,Unknown
160388,-45.03624,169.196961,Otago
160157,-41.24779905,174.9032019,Wellington
160419,-46.599706,168.345328,Southland
160439,-37.19289256,174.9812599,Auckland
160525,-36.730307,174.704564,Auckland
160310,-41.323357,174.772457,Wellington
160294,-41.278398,174.757247,Wellington
160246,-39.177432,175.402147,Manawatū-Whanganui
160161,-37.81932391,175.3032959,Waikato
160424,-41.17098912,174.8254394,Wellington
160470,-36.73537503,174.7262988,Auckland
160297,-41.289609,174.776206,Wellington
